Name,Description,Ocupation Wikidata Ids
HARLAN K. ULLMAN,American writer,"officer|""writer""|"
SARAH RUHL,American writer,playwright|
GORE VIDAL,American writer,"playwright|""actor""|""screenwriter""|""author""|""novelist""|""essayist""|""writer""|"
DEBORAH GARRISON,American writer,"poet|""author""|"
HART CRANE,American writer,"poet|""author""|"
E. B. WHITE,American writer,"poet|""writer""|""journalist""|""author""|""novelist""|"
NORMAN VINCENT PEALE,American writer,"psychologist|""author""|""writer""|"
JULIA CHO,American writer,screenwriter|
KEM NUNN,American writer,"screenwriter|""author""|""novelist""|"
JOAN DIDION,American writer,"screenwriter|""author""|""novelist""|""journalist""|"
RAY BRADBURY,American writer,"screenwriter|""author""|""novelist""|""poet""|""writer""|"
JOHN PATRICK SHANLEY,American writer,"screenwriter|""author""|""playwright""|""writer""|"
WILLIAM SAROYAN,American writer,"screenwriter|""playwright""|""author""|""novelist""|""writer""|"
WILLIAM FAULKNER,American writer,"screenwriter|""poet""|""novelist""|""short story writer""|""playwright""|""writer""|"
A. I. BEZZERIDES,American writer,"screenwriter|""writer""|""author""|"
ROBERT LEHRMAN,American writer,teacher|
WILLIAM R. FORSTCHEN,American writer,"teacher|""historian""|""novelist""|""writer""|"
GEOFFREY BROCK,American writer,translator|
DEBBIE MACOMBER,American writer,woman of letters|
ELIZABETH GILBERT,American writer,"woman of letters|""novelist""|"
JOHANNA LINDSEY,American writer,"woman of letters|""novelist""|"
CHRISTINE FEEHAN,American writer,"woman of letters|""novelist""|"
SARA GRUEN,American writer,"woman of letters|""novelist""|"
WAYNE LAPIERRE,American writer,writer|
BARBARA HOLLAND,American writer,writer|
PETER PARNELL,American writer,writer|
MAER ROSHAN,American writer,writer|
MAXINE PAETRO,American writer,writer|
SUSAN WIGGS,American writer,writer|
JOANN ROSS,American writer,writer|
CHARLIE LEDUFF,American writer,writer|
ZOEY DEAN,American writer,writer|
CAROLE BOSTON WEATHERFORD,American writer,writer|
ELIZABETH CRANE,American writer,writer|
LEA WAIT,American writer,writer|
MAXINE SWANN,American writer,writer|
TAMI HOAG,American writer,"writer|""author""|"
EMILY KINGSLEY,American writer,"writer|""author""|"
ANDREA CAGAN,American writer,"writer|""author""|"
ALICE B. TOKLAS,American writer,"writer|""author""|""autobiographer""|"
GAY TALESE,American writer,"writer|""author""|""journalist""|"
J. D. SALINGER,American writer,"writer|""author""|""novelist""|"
LINCOLN CHILD,American writer,"writer|""author""|""novelist""|"
NELSON DEMILLE,American writer,"writer|""author""|""novelist""|"
CHARLAINE HARRIS,American writer,"writer|""author""|""novelist""|"
DIRK CUSSLER,American writer,"writer|""author""|""novelist""|"
CLAIRE MESSUD,American writer,"writer|""author""|""novelist""|"
T. A. BARRON,American writer,"writer|""author""|""novelist""|"
TONI MORRISON,American writer,"writer|""author""|""novelist""|"
DASHIELL HAMMETT,American writer,"writer|""author""|""novelist""|"
TRACY CHEVALIER,American writer,"writer|""author""|""novelist""|"
CECILY VON ZIEGESAR,American writer,"writer|""author""|""novelist""|"
SUSAN ELIZABETH PHILLIPS,American writer,"writer|""author""|""novelist""|"
ERIC NYLUND,American writer,"writer|""author""|""novelist""|"
GARY PAULSEN,American writer,"writer|""author""|""novelist""|""musher""|"
NATHANAEL WEST,American writer,"writer|""author""|""novelist""|""playwright""|"
RON POWERS,American writer,"writer|""journalist""|"
JUDITH VIORST,American writer,"writer|""journalist""|""author""|"
AUGUSTEN BURROUGHS,American writer,"writer|""journalist""|""author""|""novelist""|"
HARRIET A. WASHINGTON,American writer,"writer|""medical writer""|"
WALTER DEAN MYERS,American writer,"writer|""novelist""|"
ELLEN HOPKINS,American writer,"writer|""novelist""|"
ANN WALDRON,American writer,"writer|""novelist""|"
FRANCINE PROSE,American writer,"writer|""novelist""|"
THOMAS WOLFE,American writer,"writer|""poet""|""author""|""novelist""|"
JACK KEROUAC,American writer,"writer|""poet""|""author""|""novelist""|"
SUE GRAFTON,American writer,"writer|""screenwriter""|""author""|""novelist""|"
SIDNEY SHELDON,American writer,"writer|""screenwriter""|""author""|""novelist""|""playwright""|"
NICHOLAS PILEGGI,American writer,"writer|""screenwriter""|""film producer""|""author""|"
JOHN STEINBECK,American writer,"writer|""screenwriter""|""journalist""|""author""|""novelist""|"
MARILYN NELSON,American writer,"writer|""translator""|"
MICHIKO KAKUTANI,American writer,
HENRY I. MILLER,American writer,
CECIL MURPHEY,American writer,
ED GRACZYK,American writer,
JESSICA SEINFELD,American writer,
LEANNE BANKS,American writer,
LISA NORRIS,American writer,
LORI FOSTER,American writer,
MARILEE JONES,American writer,
MIKE DAISEY,American writer,
WALTER KERR,American writer,
PAUL SIMMS,American writer,
PATRICK J. LYNCH,American writer,
LUC SANTE,American writer,
ADAM BEGLEY,American writer,
ALLAN KNEE,American writer,
JEFFREY GITOMER,American writer,
BLAKE BAILEY,American writer,
DAVID OLIVER RELIN,American writer,
DOUGLAS CARTER BEANE,American writer,
JUDITH WARNER,American writer,
KATE ROBIN,American writer,
ITAMAR MOSES,American writer,
ALEX HALBERSTADT,American writer,
DANIEL MENAKER,American writer,
MICHELLE KNUDSEN,American writer,
STEVE GENG,American writer,
CHRIS GRABENSTEIN,American writer,
AMY FOX,American writer,
DENNIS OVERBYE,American writer,
HEIDI MURKOFF,American writer,
JONATHAN COHN,American writer,
LOUIS BAYARD,American writer,
NAN KEMPNER,American writer,
SABRINA JEFFRIES,American writer,
SHEILA CALLAGHAN,American writer,
SIDNEY WILLIAMS,American writer,
VERLYN KLINKENBORG,American writer,
MICHAEL LEDWIDGE,American writer,
KIRK W. JOHNSON,American writer,
JUNE COHEN,American writer,
DAVID BERREBY,American writer,
DAVID GESSNER,American writer,
JEFFREY HATCHER,American writer,
KEVIN SESSUMS,American writer,
TERRENCE RAFFERTY,American writer,
CHRIS HENCHY,American writer and  producer,"screenwriter|""film producer""|"
SALLY BALL,American writer and academic,poet|
JOEL BROUWER,American writer and academic,"poet|""literary critic""|""essayist""|"
NIKKI GIOVANNI,American writer and academic,"woman of letters|""poet""|"
RAYMOND MCDANIEL,American writer and academic,
GRACE PALEY,American writer and activist,"writer|""poet""|""author""|""teacher""|"
C. T. VIVIAN,American writer and activist,
BETH HENLEY,American writer and actor,"actor|""author""|""playwright""|"
CRAIG LUCAS,American writer and actor,"film director|""screenwriter""|""actor""|"
CLEMENT GREENBERG,American writer and artist,"art collector|""art historian""|""artist""|"
ARTHUR GETZ,American writer and artist,"writer|""painter""|"
WALTER ISAACSON,American writer and biographer,"journalist|""author""|""writer""|"
STEPHEN HOLDEN,American writer and critic,"music critic|""poet""|""film critic""|""journalist""|""author""|""writer""|"
STEPHEN GAGHAN,American writer and director,"film director|""screenwriter""|"
LEO LERMAN,American writer and editor,journalist|
CULLEN MURPHY,American writer and editor,"writer|""author""|""journalist""|"
DAVID BLUM,American writer and editor,
NELSON GEORGE,American writer and filmmaker,"screenwriter|""film producer""|""author""|""writer""|"
SUSAN SONTAG,American writer and filmmaker| professor| and activist,"writer|""film director""|""screenwriter""|""professor""|""essayist""|""novelist""|"
MAX BOOT,American writer and historian,"writer|""consultant""|""historian""|"
PAUL WELLMAN,American writer and historian,"writer|""historian""|"
BARBARA EHRENREICH,American writer and journalist,"journalist|""writer""|""historian""|""author""|""novelist""|"
ROBERT MACNEIL,American writer and journalist,"television presenter|""author""|""journalist""|"
JEANNETTE WALLS,American writer and journalist,"writer|""journalist""|""author""|"
ANNETTE CURTIS KLAUSE,American writer and librarian,"librarian|""writer""|""novelist""|"
GARY I. WADLER,American writer and medic,
KENNETH L. DAVIS,American writer and medical researcher,
LISA SEE,American writer and novelist,"writer|""author""|""novelist""|""journalist""|"
AL JEAN,American writer and producer,"screenwriter|""writer""|"
MARCO CEGLIE,American writer and producer,
GARY ZUKAV,American writer and revivalist,author|
LANGSTON HUGHES,American writer and social activist,"poet|""novelist""|""playwright""|""author""|""essayist""|""writer""|"
TED ALLEN,American writer and television personality,"television presenter|""author""|"
RICHARD KIMMEL,American writer and theatre director,theatre director|
JOEL AGEE,American writer and translator,"author|""translator""|"
ANTHONY SWOFFORD,American writer and United States Marine,writer|
BRUCE LEDDY,American writer| director and producer,
WASHINGTON IRVING,American writer| historian and diplomat,"politician|""lawyer""|""diplomat""|""writer""|""author""|""essayist""|""playwright""|"
NEIL SHEEHAN,American writer| historian| soldier,"war correspondent|""journalist""|"
DAVID HALBERSTAM,American writer| journalist| historian,"journalist|""historian""|""author""|""writer""|"
CLARE BOOTHE LUCE,American writer| politician| ambassador| journalist and anti-Communist activist,"politician|""diplomat""|""author""|""journalist""|""playwright""|""writer""|"
JEFFREY MARK DESKOVIC,American wrongfully convicted of murder,
FERNANDO BERMUDEZ,American wrongfully convicted of murder,
JOHN COX STEVENS,American yacht racer,
JACK HANNA,American zoologist,zoologist|
DIAN FOSSEY,American zoologist| gorilla researcher,"anthropologist|""primatologist""|""ethologist""|""zoologist""|""author""|""scientist""|"
ANDRAY BLATCHE,American/Filipino basketball player,basketball player|
BRIAN SCHMIDT,American-Australian astrophysicist and Nobel laureate,astronomer|
SIDNEY POITIER,American-born Bahamian actor| film director| author| and diplomat,"film actor|""film director""|""actor""|""diplomat""|""autobiographer""|"
TERRY GILLIAM,American-born British screenwriter| film director| animator| actor and member of the Monty Python comedy troupe,"film director|""screenwriter""|""actor""|""animator""|"
JOSEPHINE BAKER,American-born French dancer| singer| and actress,"actor|""singer""|""Vedette""|""film actor""|""street artist""|""musician""|""dancer""|"
MARIA CALLAS,American-born Greek operatic soprano,"opera singer|""singer""|""artist""|""composer""|"
ELIZABETH CATLETT,American-born Mexican sculptor and printmaker,"sculptor|""printmaker""|""painter""|"
ROGER REES,American-British actor,"actor|""television actor""|""film actor""|"
LEILA JOSEFOWICZ,American-Canadian classical violinist,
DES MCANUFF,American-Canadian film director,film director|
RUFUS WAINWRIGHT,American-Canadian singer-songwriter and composer,"composer|""singer-songwriter""|""pianist""|""singer""|""musician""|"
MARTINA NAVRATILOVA,American-Czech tennis player,"tennis player|""sportsperson""|""autobiographer""|"
ISAIAH WASHINGTON,American-Sierra Leonean actor,"television actor|""film actor""|""actor""|"
BONNIE WATSON COLEMAN,Ametrican politician (Democrat),politician|
ANNE WOJCICKI,An American biotech analyst| biologist| and businesswoman. Co-founder of 23andMe.,biologist|
MIKE DITKA,An American football player| coach and television commentator,"sportsperson|""television presenter""|""baseball player""|""gridiron football player""|"
ROSALIND ELIAS,An American mezzo-soprano,"singer|""opera singer""|"
LAURA SUMMERTON,An Australian female professional basketball player,basketball player|
LUCIUS VORENUS,Ancient Roman soldier,
PETER AKINOLA,Anglican Primate of the Church of Nigeria,priest|
W. H. AUDEN,Anglo-American poet,"poet|""screenwriter""|""literary historian""|""author""|""playwright""|""writer""|"
ERNEST SHACKLETON,Anglo-Irish polar explorer,explorer|
JONATHAN SWIFT,Anglo-Irish satirist| essayist| poet| etc.,"poet|""novelist""|""satirist""|""philosopher""|""human rights activist""|"
BRIGITTE BARDOT,animal rights activist and a former actress| singer and fashion model from France,"actor|""model""|""singer""|""autobiographer""|"
SCOTT ATRAN,Anthropologist,"anthropologist|""political scientist""|"
YISROEL DOVID WEISS,Anti-Zionist Haredi Rabbi from Monsey| New York,rabbi|
JAMAL ZAHALKA,Arab politician in Israel,politician|
ARNOLD M. ZACK,Arbitrator and mediator of labor management,
ROWAN WILLIAMS,Archbishop of Canterbury (2002–2012),"theologian|""politician""|""priest""|"
PATRICIA URQUIOLA,Architect,architect|
RICHARD LEVINE,Architect,architect|
DAVID ADJAYE,architect,architect|
KEVIN ROCHE,Architect (b.1922),architect|
LE CORBUSIER,architect| designer| urbanist| and writer,"architect|""painter""|""writer""|""urban planner""|"
PAUL GOLDBERGER,Architecture critic,architect|
GUILLERMO KUITCA,Argentine artist,painter|
LIONEL MESSI,Argentine association football player,association football player|
DANIEL BURMAN,Argentine film director and producer,"screenwriter|""film producer""|""film director""|"
GABRIEL ROTH,Argentine footballer,association football player|
PABLO ALVARADO,Argentine footballer,association football player|
AGUSTIN MADALA,Argentine Italian bridge player,bridge player|
CHE GUEVARA,Argentine Marxist revolutionary,"politician|""physician""|""poet""|""diplomat""|""teacher""|""essayist""|""rugby union player""|"
GUILLERMO KLEIN,Argentine musician,"pianist|""composer""|"
ANGEL DIAZ,Argentine musician,
GUSTAVO SANTAOLALLA,Argentine musician| film composer and film producer,"composer|""songwriter""|"
MARTHA ARGERICH,Argentine pianist,"pianist|""composer""|"
ASTOR PIAZZOLLA,Argentine tango composer| bandoneon player and arranger,"composer|""musician""|"
CARLOS COPELLO,Argentine tango dancer,dancer|
DAVID NALBANDIAN,Argentine tennis player,tennis player|
JUAN IGNACIO CHELA,Argentine tennis player,"tennis player|""sportsperson""|"
GUILLERMO CORIA,Argentine tennis player,"tennis player|""sportsperson""|"
GUILLERMO VILAS,Argentine tennis player,"tennis player|""sportsperson""|"
DIEGO HARTFIELD,Argentine tennis player,"tennis player|""sportsperson""|"
CARLOS RODRIGUEZ,Argentinian tennis coach,
MIKE HUCKABEE,Arkansas politician,"radio host|""author""|""politician""|""musician""|"
KHAJAG BARSAMIAN,Armenian archbishop,priest|
LEVON ARONIAN,Armenian chess player,chess player|
ARMAN KIRAKOSSIAN,Armenian diplomat,diplomat|
SERGEY KHACHATRYAN,Armenian violinist,violinist|
LARRY GAGOSIAN,Armenian-American art dealer,art collector|
CARLA GARAPEDIAN,Armenian-American documentary filmmaker,"writer|""director""|"
TIMOTHY MCVEIGH,Army soldier| security guard| terrorist,"soldier|""security guard""|"
DANIEL WILDENSTEIN,Art dealer and historian| race horse owner and breeder,"art collector|""art historian""|"
HEINZ BERGGRUEN,art dealer| author,"journalist|""writer""|""author""|"
GAIL LEVIN,art historian,art historian|
GLENN D. LOWRY,Art historian and museum director,art historian|
ADAM D. WEINBERG,art museum curator and director,engineer|
MAXWELL L. ANDERSON,Art museum director,
STEPHEN G. RHODES,Artist,artist|
HARMONY HAMMOND,Artist,artist|
PHILIPPE PARRENO,Artist,artist|
SUSAN HILLER,Artist,artist|
DONALD JUDD,artist,"artist|""architect""|""sculptor""|""painter""|"
BENNETT BEAN,Artist,ceramist|
JOE QUESADA,Artist,"comics artist|""editor""|"
CHRIS WARE,Artist,illustrator|
MATTHEW BRANNON,artist,painter|
ADRIAN PIPER,artist,"philosopher|""artist""|"
DAMIEN HIRST,artist,"restaurateur|""painter""|"
TOM NUSSBAUM,artist,sculptor|
TOM JOYCE,Artist,
LAURA MARTIN,Artist,
JAN FABRE,artist| choreographer| designer| playwright| stage director,"painter|""sculptor""|""choreographer""|"
CHARLOTTE CORDAY,Assassin of Jean-Paul Marat,
SAM CASSELL,Assistant Coach,"sportsperson|""basketball player""|""basketball coach""|"
J. SCOTT JENNINGS,Assistant to the President of the United States,
CLARENCE THOMAS,Associate Justice of the Supreme Court of the United States,"judge|""lawyer""|"
RUTH BADER GINSBURG,Associate Justice of the Supreme Court of the United States,"judge|""lawyer""|"
ANTONIN SCALIA,Associate Justice of the Supreme Court of the United States,"judge|""lawyer""|"
STEPHEN BREYER,Associate Justice of the Supreme Court of the United States,"jurist|""judge""|""lawyer""|"
SAMUEL ALITO,Associate Justice of the Supreme Court of the United States,"magistrate|""judge""|""lawyer""|"
THURGOOD MARSHALL,Associate Justice of the United States Supreme Court,"judge|""lawyer""|"
CLIVE CAMPBELL,association football player,association football player|
SHAYNE CULPEPPER,Athletics (sport) competitor,"long-distance runner|""middle-distance runner""|"
TORA HARRIS,Athletics competitor,engineer|
AARIK WILSON,Athletics competitor,sportsperson|
PAUL TERGAT,Athletics competitor,"sportsperson|""marathon runner""|""long-distance runner""|"
DATHAN RITZENHEIN,Athletics competitor,"sportsperson|""marathon runner""|""long-distance runner""|"
TIM MONTGOMERY,Athletics competitor,"sportsperson|""sprinter""|"
MORGAN TAYLOR,Athletics competitor,
ANTHONY FAMIGLIETTI,Athletics competitor,
ADAM GOUCHER,Athletics competitor,
GABE JENNINGS,Athletics competitor,
LIDIYA GRIGORYEVA,Athletics competitor,
ANDRA MANSON,Athletics competitor| high jumper,sportsperson|
DEENA KASTOR,Athletics competitor| long distance runner| marathoner,"sportsperson|""marathon runner""|""long-distance runner""|"
NICK SYMMONDS,Athletics competitor| middle distance runner| 800 metres runner,middle-distance runner|
TOMMIE SMITH,Athletics competitor| sprinter,"sportsperson|""gridiron football player""|""sprinter""|"
JOHN CARLOS,Athletics competitor| sprinter,"sportsperson|""sprinter""|"
GAIL DEVERS,Athletics competitor| sprinter| hurdler,"sportsperson|""sprinter""|"
MARION JONES,Athletics| sprinter and basketball competitor| BALCO scandal| performance enhancing drugs,"sportsperson|""basketball player""|""sprinter""|"
BENJAMIN BRAFMAN,attorney,lawyer|
FLOYD ABRAMS,Attorney,lawyer|
BOB ARUM,Attorney and boxing promoter,lawyer|
ALFRED P. MURRAH,Attorney and judge,"lawyer|""judge""|"
TERRY HICKS,Australian activist,
RYAN KWANTEN,Australian actor,actor|
DEBORAH KENNEDY,Australian actor,actor|
BINDI IRWIN,Australian actor,"television presenter|""actor""|"
MICHAEL BLAKEMORE,Australian actor,
HEATH LEDGER,Australian actor and director,"television actor|""actor""|""film director""|""film actor""|"
GEOFFREY RUSH,Australian actor and film producer,actor|
JULIAN MCMAHON,Australian actor and former fashion model,actor|
HUGH JACKMAN,Australian actor and producer,"actor|""singer""|""film producer""|""musician""|"
ROSE BYRNE,Australian actress,actor|
CATE BLANCHETT,Australian actress,"actor|""film producer""|""film director""|"
TONI COLLETTE,Australian actress and musician,"actor|""singer""|""voice actor""|"
RUPERT MURDOCH,Australian American media mogul,"editor|""entrepreneur""|""financier""|""publisher""|"
BENJAMIN GENOCCHIO,Australian art critic,art historian|
LYNNE COOKE,Australian art historian,"historian|""art historian""|"
MARKUS ZUSAK,Australian author,"writer|""author""|"
ANDREW BOGUT,Australian basketball player,"sportsperson|""basketball player""|"
PHILLIP ASPINALL,Australian bishop,priest|
ANDREW N. LIVERIS,Australian buusinessman,
CHRISTOPHER DOYLE,Australian cinematographer and film director,"film director|""cinematographer""|""actor""|"
PAUL MCDERMOTT,Australian comedian| singer and television presenter,painter|
PETER SCULTHORPE,Australian composer,"composer|""musicologist""|"
JULIAN KNOWLES,Australian composer and musician,composer|
CRAIG MOTTRAM,Australian distance runner,"athletics competitor|""long-distance runner""|"
BENITA JOHNSON,Australian distance runner,"athletics competitor|""marathon runner""|"
MATTHEW NORMAN,Australian drug trafficker,
ERIC BANA,Australian film and television actor,"actor|""screenwriter""|""film producer""|"
TRACEY MOFFATT,Australian film director,"photographer|""film director""|"
BAZ LUHRMANN,Australian film director| screenwriter and producer,"film director|""actor""|""screenwriter""|""film producer""|""writer""|"
JUDY DAVIS,Australian film| television and stage actress,actor|
PETER HEGEDUS,Australian filmmaker,
JOHN SAFRAN,Australian filmmaker,
MARC NEWSON,Australian industrial designer,designer|
TOM CLAYTON,Australian jockey,jockey|
COL ALLAN,Australian journalist,journalist|
PETER GRESTE,Australian journalist,journalist|
FRANK PACKER,Australian media proprietor,
STEVEN BISHOP,Australian musician,
JOHN STAINTON,Australian naturalist,film director|
CATHY EDWARDS,Australian politician,politician|
CHARLES MCGRATH,Australian politician,"politician|""Australian-rules footballer""|"
GREG NORMAN,Australian professional golfer,golfer|
BILL NOBLE,Australian rugby league player,rugby league player|
BRETT WHITE,Australian rugby league player,rugby league player|
NATHAN HINTON,Australian rugby league player,rugby league player|
KEVIN HALL,Australian rules footballer,Australian-rules footballer|
NEIL FERGUSON,Australian rules footballer,Australian-rules footballer|
STEPHEN ANDERSON,Australian rules footballer,Australian-rules footballer|
BILLY PAYNE,Australian rules footballer,Australian-rules footballer|
STAN MORRIS,Australian rules footballer,Australian-rules footballer|
STEPHEN WALLIS,Australian rules footballer,Australian-rules footballer|
JAMES SPITHILL,Australian sailor,sailor|
STEVE FORDE,Australian singer,singer|
NORMA PARKER,Australian social worker,social worker|
IAN THORPE,Australian swimmer,"swimmer|""sportsperson""|""autobiographer""|"
GRANT HACKETT,Australian swimmer| Olympic gold medallist,swimmer|
ROD LAVER,Australian tennis player,tennis player|
ALLAN STONE,Australian tennis player,tennis player|
PETER LUCZAK,Australian tennis player,"tennis player|""sportsperson""|"
LLEYTON HEWITT,Australian tennis player,"tennis player|""sportsperson""|"
DARREN CAHILL,Australian tennis player,"tennis player|""sportsperson""|"
KEN ROSEWALL,Australian tennis player,"tennis player|""sportsperson""|"
MARK PHILIPPOUSSIS,Australian tennis player,"tennis player|""sportsperson""|"
STEPHANIE LAURENS,Australian writer,writer|
CLIVE JAMES,Australian writer,writer|
BEATRIX CHRISTIAN,Australian writer,
RHONDA BYRNE,Australian writer and producer,screenwriter|
TERRI IRWIN,Australian zoologist,actor|
P. L. TRAVERS,Australian-British novelist| actress and journalist,"poet|""writer""|""author""|""novelist""|""children's writer""|"
BENJAMIN RAICH,Austrian alpine ski racer,alpine skier|
HERMANN MAIER,Austrian alpine skier,alpine skier|
MARLIES SCHILD,Austrian Alpine skier,alpine skier|
ARNOLD SCHWARZENEGGER,Austrian American actor| businessman and politician,"actor|""politician""|""film producer""|""film actor""|""film director""|""restaurateur""|""soldier""|""entrepreneur""|""bodybuilder""|""autobiographer""|"
FRANCESCA VON HABSBURG,Austrian archduchess,
HELMUT LANG,Austrian artist,fashion designer|
ARNULF RAINER,Austrian artist,painter|
VICTORIA COELN,Austrian artist,
ALFRED GUSENBAUER,austrian chancellor,politician|
ALBAN BERG,Austrian composer,composer|
OLGA NEUWIRTH,Austrian composer,composer|
FRANZ SCHREKER,austrian composer,"composer|""music educator""|"
ANTON WEBERN,Austrian composer and conductor,"composer|""conductor""|"
ARNOLD SCHOENBERG,Austrian composer and painter,"composer|""painter""|""musicologist""|""music theorist""|"
JOHANN NEPOMUK HUMMEL,Austrian composer and pianist,"composer|""conductor""|""pianist""|"
HERBERT VON KARAJAN,Austrian conductor.,conductor|
KARL WEYPRECHT,Austrian explorer,"explorer|""meteorologist""|"
MICHAEL HANEKE,Austrian film director and screenwriter,"film director|""screenwriter""|""author""|""writer""|"
SIMON WIESENTHAL,Austrian Holocaust survivor noted for his work as a Nazi hunter,"Nazi hunter|""author""|""writer""|""autobiographer""|"
ROBERT MACK,Austrian ice hockey player,ice hockey player|
THOMAS VANEK,austrian ice hockey player,ice hockey player|
WOLFGANG MUTHSPIEL,Austrian musician,"jazz musician|""guitarist""|""composer""|"
TILL FELLNER,Austrian musician,musician|
JULIAN RACHLIN,Austrian musician,violinist|
SIGMUND FREUD,Austrian neurologist known as the founding father of psychoanalysis,"psychoanalyst|""neurologist""|""science writer""|""essayist""|"
HUGO VON HOFMANNSTHAL,Austrian novelist| librettist| poet| dramatist| narrator| and essayist,"novelist|""librettist""|""poet""|""playwright""|""writer""|""author""|"
IOAN HOLENDER,Austrian opera administrator,"impresario|""singer""|""opera singer""|"
EGON SCHIELE,austrian painter,"painter|""engraver""|""draughtsperson""|"
MAX POLLAK,Austrian percussionist| choreographer and dancer,
EGON FRIEDELL,Austrian philosopher| historian| journalist| actor| cabaret performer (Kabarettist) and theatre critic,"actor|""historian""|""author""|""translator""|""journalist""|""philosopher""|"
ALFRED BRENDEL,Austrian pianist| poet| and author,"pianist|""composer""|"
WILHELM REICH,Austrian psychoanalyst,"psychotherapist|""psychologist""|""psychiatrist""|""author""|""philosopher""|"
LOTTE LENYA,Austrian singer and actress,"actor|""singer""|"
GUSTAV KLIMT,Austrian symbolist painter,painter|
FRITZ KREISLER,austrian violinist and composer,"composer|""violinist""|"
ARTHUR SCHNITZLER,Austrian writer,"writer|""author""|""playwright""|""physician""|"
STEFAN ZWEIG,Austrian writer,"writer|""author""|""translator""|""journalist""|"
ELFRIEDE JELINEK,Austrian writer,"writer|""playwright""|""screenwriter""|""poet""|""author""|""translator""|""novelist""|"
PETER ALTENBERG,Austrian writer and poet,"writer|""poet""|""aphorist""|""author""|"
RICHARD NEUTRA,Austrian–American architect,architect|
FREDERICK LOEWE,Austrian-American composer,"composer|""songwriter""|"
FRED ZINNEMANN,Austrian-American film director,"film producer|""film director""|"
EDUARD STEUERMANN,Austrian-born American pianist,"pianist|""composer""|""music educator""|"
VICTORIA ALEXANDER,Author,author|
SARA WHEELER,Author,author|
W. E. B. GRIFFIN,author,"author|""novelist""|"
AUBERON WAUGH,Author,journalist|
KATHRYN HARRISON,Author,novelist|
BEVERLY BARTON,Author,novelist|
DANI SHAPIRO,Author,novelist|
STUART STEVENS,Author,novelist|
WENDELL BERRY,author,"poet|""author""|""novelist""|"
NANCY TILLMAN,Author,writer|
DONNA HOGAN,Author,writer|
STOO HAMPLE,Author,writer|
LILIAN JACKSON BRAUN,author,"writer|""author""|"
MERRIWETHER WILLIAMS,author,"writer|""author""|"
CORNELIA FUNKE,author,"writer|""author""|""children's writer""|"
HARLAN COBEN,Author,"writer|""author""|""novelist""|"
ARTHUR WAUGH,Author,
ROBIN MARANTZ HENIG,author and journalist,author|
JIM BUTCHER,author from the USA,"author|""novelist""|"
ROBERT LOOMIS,"Author of ""Great American Fighter Pilots of World War II""",
TONY ROBBINS,Author| actor| professional speaker,"motivational speaker|""author""|""writer""|""actor""|"
HENRY DARGER,author| artist,"writer|""janitor""|""painter""|"
CHUCK KLOSTERMAN,Author| Columnist,journalist|
JENNIFER ALLEN,Author| commentator,
PATTI DAVIS,author| daughter of Ronald Reagan and Nancy Davis,"actor|""author""|""writer""|"
KIM EDWARDS,Author| educator,woman of letters|
MICHELLE MALKIN,Author| journalist,"journalist|""author""|"
JOAN ACOCELLA,Author| journalist for The New Yorker,
NASSIM NICHOLAS TALEB,Author| philosopher| statistician| trader,"philosopher|""essayist""|""mathematician""|""writer""|"
ANN COULTER,author| political commentator,"Whore|""author""|"
JEFFREY BELL,Author| Political Consultant,
NATHANIEL PHILBRICK,author| scholar,"writer|""historian""|"
LAURENS VAN DEN ACKER,Automobile designer,designer|
STEVE MATTIN,automobile designer,engineer|
SHAKHRIYAR MAMEDYAROV,Azerbaijani chess player,chess player|
JENNIFER CUNNINGHAM,badminton player,badminton player|
JESSICA FLETCHER,badminton player,badminton player|
LYNN SEYMOUR,Ballerina,ballet dancer|
DARCEY BUSSELL,ballerina,"ballet dancer|""author""|""choreographer""|""model""|"
VIOLETTE VERDY,ballerina and ballet teacher,"choreographer|""ballet dancer""|""music educator""|"
ROBERT JOFFREY,Ballet choreographer,choreographer|
ANGEL CORELLA,ballet dancer,ballet dancer|
PALOMA HERRERA,ballet dancer,ballet dancer|
AMAR RAMASAR,Ballet dancer,ballet dancer|
IRINA DVOROVENKO,ballet dancer,ballet dancer|
RACHEL RUTHERFORD,Ballet dancer,ballet dancer|
ALEXANDRA ANSANELLI,ballet dancer,ballet dancer|
MELISSA BARAK,ballet dancer,ballet dancer|
MARIA RICCETTO,ballet dancer,ballet dancer|
VALENTINA KOZLOVA,Ballet dancer,ballet dancer|
DIANA VISHNEVA,ballet dancer,"choreographer|""ballet dancer""|"
JODIE GATES,Ballet dancer,
MARIA ABASHOVA,Ballet dancer,
MAURO BIGONZETTI,Ballet dancer and choreographer,choreographer|
ANTON DOLIN,ballet dancer and choreographer,choreographer|
JOHN NEUMEIER,ballet dancer| choreographer and director,choreographer|
JENNIFER TIPTON,Ballet designer,lighting designer|
HOLLY HYNES,Ballet designer,
TONY MEREDITH,Ballroom dance champion and choreographer,choreographer|
CHRIS DANIELS,Bandleader of Chris Daniels & The Kings,"bandleader|""conductor""|"
TORII HUNTER,baseball center fielder with the Detroit Tigers,baseball player|
JIM THOME,Baseball designated hitter,baseball player|
THEO EPSTEIN,Baseball executive,
WALT JOCKETTY,Baseball General Manager,
RON GARDENHIRE,baseball manager from Germany,"baseball manager|""baseball player""|"
